Price,Close,High,Low,Open,Volume,MA10,RSI,MACD,Signal
Ticker,WMT,WMT,WMT,WMT,WMT,,,,
Date,,,,,,,,,
2018-01-22,31.06174087524414,31.06174087524414,30.646405014795302,30.78190291193462,21924900,30.0540340423584,80.90098235952959,0.4127984712812065,0.2397459369273343
2018-01-23,31.194297790527344,31.26793759807576,30.802528620746866,31.014615985906342,24863400,30.180402755737305,81.64511828530871,0.4703309090316701,0.2858629313482015
2018-01-24,31.161888122558594,31.35335494724926,30.87616101842146,31.32684529709666,20469300,30.339467239379882,79.35179028692674,0.5074608977556778,0.33018252462969677
2018-01-25,31.400476455688477,31.462334536383484,31.179553775774146,31.179553775774146,17571300,30.54359874725342,80.64223303290137,0.5498010021309341,0.37410622012994427
2018-01-26,31.927753448486328,31.933642608704403,31.42404990063007,31.518310174252136,20358900,30.79014835357666,82.46846033278848,0.6187698924244174,0.4230389545888389
2018-01-29,32.26945114135742,32.39611361452287,31.80993139287316,31.845279843759755,25065600,31.045830154418944,82.01607715026924,0.6930117746506319,0.47703351860119747
2018-01-30,31.73334503173828,32.213485267229764,31.56249868207708,32.14868089821797,27541500,31.25320358276367,78.2307222572544,0.7005146220702052,0.5217297392949991
2018-01-31,31.400476455688477,31.865888564407534,31.244358121457026,31.74511529699282,29438400,31.368082809448243,75.83859044280435,0.6718562301121089,0.551755037458421
2018-02-01,31.08234214782715,31.38868960696843,30.982192751790436,31.211950817887384,19160400,31.404018211364747,69.44801755881062,0.6163683573797911,0.564677701442695
2018-02-02,30.776010513305664,31.362192659268675,30.67880397142556,30.97336649174826,27759300,31.400778198242186,62.5959068883061,0.5414341004068355,0.5600289812355231
2018-02-05,29.48287582397461,30.81430136101046,28.59918490613996,30.457880750835994,37684800,31.242891693115233,48.381914321437804,0.3733986919439829,0.5227029233772151
2018-02-06,29.721471786499023,29.77449445938193,28.64631733854007,28.76119473993263,49241400,31.0956090927124,44.809734063846186,0.2565250590540238,0.4694673505125769
2018-02-07,30.29586410522461,30.808406358460584,29.459303483366465,29.6036401336572,33495600,31.009006690979003,45.90158653930623,0.2078545053314116,0.4171447814763438
2018-02-08,29.462257385253906,30.481446254713376,29.456364853546734,30.407806463441517,41925300,30.815184783935546,38.704929954344216,0.100855051045869,0.35388683539024884
2018-02-09,29.270790100097656,29.780386212380787,28.404773358405194,29.612482771482473,42553800,30.54948844909668,34.81516029101361,0.0006004809117285959,0.2832295644945448
2018-02-12,29.323814392089844,29.588921022194867,29.102891638500044,29.494660737223583,27405300,30.254924774169922,33.92402125033934,-0.07372353200779713,0.21183894519407642
2018-02-13,29.745031356811523,29.815728236909905,29.259002104679897,29.259002104679897,19868400,30.056093406677245,38.58559547235172,-0.09751308873893905,0.14996853840747335
2018-02-14,29.95711898803711,30.11912649336318,29.518216489317854,29.70968327571603,21922800,29.91175765991211,38.32223943378984,-0.09812169863008435,0.10035049099996181
2018-02-15,30.407804489135742,30.528574413183,29.99541494276168,30.207502247273297,22484700,29.84430389404297,37.548239592763935,-0.06152821399983921,0.06797475000000161
2018-02-16,30.864377975463867,30.91150811312445,30.039598880897007,30.366566949865643,48192900,29.85314064025879,38.70197638691087,0.004264887842051479,0.055232777568411585
2018-02-20,27.72138786315918,28.849566702395283,27.718441597188644,28.56973211344087,156265500,29.676991844177245,27.2696464738046,-0.1949592708171437,0.005194367891300532
2018-02-21,26.958463668823242,28.083697797509153,26.875986771758576,28.015947172074146,148511100,29.400691032409668,26.00252000464927,-0.4096848662285879,-0.07778147893267716
2018-02-22,27.326671600341797,27.509301329119886,26.89660945912821,26.931957909765796,61095000,29.103771781921388,29.819590560864995,-0.5438756844357506,-0.17100032003329185
2018-02-23,27.362014770507812,27.538753618573907,27.029157561770397,27.359068505020968,38374500,28.893747520446777,31.105262502298615,-0.6399935291781382,-0.26479896186226115
2018-02-26,27.429767608642578,27.630069854759114,27.16465931512593,27.364963246749173,44097900,28.70964527130127,36.85399658434975,-0.702601374533323,-0.35235944439647354
2018-02-27,26.958463668823242,27.606503895860786,26.95551740319332,27.579992561711435,40128300,28.47311019897461,32.82048204716109,-0.7812431474378378,-0.43813618500474644
2018-02-28,26.513671875,27.129311605968038,26.510727294884735,27.099855691775495,42431100,28.149974250793456,26.098307825601452,-0.869435982725701,-0.5243961445489373
2018-03-01,26.239727020263672,26.56374711876717,25.83617629401093,26.560802538780354,56728800,27.778235054016115,28.0849242359387,-0.9504779818877438,-0.6096125120166986
2018-03-02,26.148414611816406,26.186707638034544,25.697732037698298,25.706569149211205,57130200,27.35229606628418,28.472786950781384,-1.0104249484932524,-0.6897749993120095
2018-03-05,26.504838943481445,26.658012745609614,25.942221827720843,25.9628406324947,40149600,26.916342163085936,31.34502430900649,-1.0174444206753677,-0.7553088835846811
2018-03-06,26.233835220336914,26.658008104104454,26.107172776834545,26.613822550844024,33164100,26.76758689880371,26.29282834355088,-1.032967729551224,-0.8108406527779897
2018-03-07,25.845014572143555,26.077718991433155,25.727187544178882,25.915709777618368,34359000,26.656241989135744,22.882738020518758,-1.0643751858819073,-0.8615475593987733
2018-03-08,26.05243682861328,26.114663713950574,25.880570240644786,26.00798784226132,28766100,26.52881851196289,20.326495138724823,-1.0603060308000245,-0.9012992536790235
2018-03-09,26.289499282836914,26.289499282836914,25.936877913365795,26.147265880585344,29263200,26.4215669631958,17.869905046555104,-1.0261237217146082,-0.9262641472861406
2018-03-12,26.09688377380371,26.502842134146352,26.040582855540467,26.283566122898772,25422000,26.288278579711914,30.516534597295163,-1.003014332448462,-0.9416141843186049
2018-03-13,26.1650390625,26.34283163100826,26.07021850699935,26.191708456442917,21519000,26.20893611907959,38.581062125403726,-0.968041433697806,-0.9468996341944451
2018-03-14,25.97835922241211,26.369501868306532,25.927985959649675,26.227266791617577,33121800,26.1554048538208,29.525316749001334,-0.9445010423338154,-0.9464199158223192
2018-03-15,25.93094253540039,26.310231470430875,25.45386753597413,25.98131748291736,49845600,26.12452640533447,28.347968219191998,-0.9190766988634316,-0.9409512724305418
2018-03-16,26.422840118408203,26.69545495861912,25.927987094064207,25.993176124935754,85188000,26.151968955993652,36.49815446815128,-0.8494438396781661,-0.9226497858800667
2018-03-19,25.91316795349121,26.396169012036044,25.809455903319684,26.34579575033372,36160200,26.09280185699463,36.126429542080736,-0.8258655176924563,-0.9032929322425447
2018-03-20,26.061330795288086,26.120593859164586,25.889464179823626,26.034661399210222,24774000,26.075551414489745,43.483226157115695,-0.7861616425153812,-0.8798666742971121
2018-03-21,26.129480361938477,26.573960067169406,25.98132102538001,26.043547912823453,35508000,26.10399799346924,48.311583911367286,-0.7406590780995188,-0.8520251550575935
2018-03-22,25.821313858032227,26.156153932104814,25.7768665557513,25.93687786129616,36744600,26.080885696411134,45.30250297608123,-0.7211514444317544,-0.8258504129324258
2018-03-23,25.311634063720703,25.98427949315132,25.270148912762252,25.883531294156743,30375300,25.98309917449951,33.58684855255474,-0.7383076529911818,-0.808341860944177
2018-03-26,25.927988052368164,25.984287286666305,25.51610194542507,25.548697309843437,27599400,25.966209602355956,46.15794517922178,-0.6941675249562813,-0.7855069937465979
2018-03-27,25.498315811157227,26.087992659929878,25.329414760447758,26.06428710057106,19637400,25.89953727722168,45.68901318554343,-0.6859499108380014,-0.7655955771648787
2018-03-28,26.00798797607422,26.14725920661965,25.539802722609256,25.560544452643253,34728900,25.90250015258789,49.48594510747859,-0.6310369075800111,-0.7386838432479051
2018-03-29,26.36357307434082,26.473211081930106,26.0079879640814,26.046509288729897,27823800,25.945763206481935,50.83381140008863,-0.5524568327146753,-0.7014384411412593
2018-04-02,25.350160598754883,26.14726164502994,25.139774361171384,26.076143259868616,57386700,25.8384952545166,42.90548058501905,-0.5654374634770143,-0.6742382456084103
2018-04-03,25.720558166503906,25.765007154386346,25.350158977112997,25.55758306574967,29086500,25.81923427581787,46.00640247873267,-0.5396163572341699,-0.6473138679335623
2018-04-04,25.845012664794922,25.927982975350666,25.31756266546809,25.364973787055526,19609800,25.797602462768555,48.78835187293155,-0.5033086774681657,-0.618512829840483
2018-04-05,26.019845962524414,26.179858949905114,25.794642247609985,25.95761906644431,19142700,25.78663902282715,50.78953546633765,-0.45517996241987646,-0.5858462563563617
2018-04-06,25.687965393066406,26.046510966262954,25.52202475996164,25.72944885578702,19050000,25.773304176330566,43.2827946821093,-0.4387598469123688,-0.5564289744675631
2018-04-09,25.566476821899414,25.913170503285013,25.554624886999353,25.735379610893634,25104300,25.798788452148436,46.588967656313805,-0.4305863678253665,-0.5312604531391238
2018-04-10,25.61684799194336,25.809454622225328,25.382754508985315,25.73241197011254,27382200,25.767674446105957,45.541007985494694,-0.4152574647442897,-0.508059855460157
2018-04-11,25.45683479309082,25.73833770161569,25.424239433904905,25.483504185758072,18837000,25.763526344299315,43.37423100798263,-0.41127994725596295,-0.48870387381931824
2018-04-12,25.31460189819336,25.729448386725675,25.308674236007985,25.539803890126777,20568900,25.694187736511232,44.84005035973179,-0.4148229214976027,-0.47392768335497515
2018-04-13,25.489425659179688,25.563506166976705,25.24348196787088,25.45090433770294,22677600,25.60677299499512,51.942996217145996,-0.3989253742692327,-0.4589272215378267
2018-04-16,25.732410430908203,25.97242986608208,25.519060387049898,25.542765947478596,21062100,25.644997978210448,47.67270474111027,-0.36254047229408926,-0.43964987168907926
2018-04-17,26.0465145111084,26.126521007402687,25.901318980714457,25.922060714897647,20405700,25.677593612670897,56.70783906078024,-0.30484553161618066,-0.41268900367449957
2018-04-18,25.94872283935547,26.24207934502822,25.930943246149766,26.13540348134934,17562000,25.687964630126952,49.19353415384935,-0.2639699646537643,-0.38294519587035253
2018-04-19,26.043550491333008,26.087997788034514,25.655371668583854,25.901317107221363,19764900,25.690335083007813,45.312557620809535,-0.22137214405931616,-0.35063058550814524
2018-04-20,25.77389907836914,26.18874559431277,25.682038959537103,26.037624109711153,24974700,25.698928451538087,57.93560813074691,-0.20698567774386945,-0.3219016039552901
2018-04-23,25.513132095336914,25.803524760230662,25.489424841513678,25.747223847399837,22081500,25.693593978881836,45.94906484789111,-0.2141573432059225,-0.30035275180541665
2018-04-24,25.640552520751953,25.753154366321986,25.35608577124171,25.711669208129514,25409100,25.695964431762697,46.01160843844179,-0.20717103755811195,-0.28171640895595573
2018-04-25,25.830196380615234,25.987245505763738,25.45090572000518,25.578323318647648,20281200,25.733300590515135,46.32177062255154,-0.18420822764485933,-0.26221477269373644
2018-04-26,26.058361053466797,26.170962883959337,25.750188782761924,25.830195257293184,17347500,25.80767650604248,57.48490253908689,-0.14591701261190337,-0.23895522067736985
2018-04-27,25.86575698852539,26.046511695759506,25.803530097146076,26.037623593181568,16953300,25.84530963897705,55.87884210313348,-0.12961832780805338,-0.21708784210350657
2018-04-30,26.21245002746582,26.568033443747687,26.052437066250114,26.05836303263261,26057700,25.893313598632812,60.47959535023267,-0.08771514626211996,-0.19121330293522926
2018-05-01,25.901317596435547,26.079108482155306,25.58721759558964,25.978360257062253,20873100,25.878793907165527,57.425765290027286,-0.07870509657171354,-0.16871166166252613
2018-05-02,25.584251403808594,25.853900673253783,25.530912620548474,25.81834317996915,18249000,25.84234676361084,54.256268462776994,-0.09604204626517898,-0.1541777385830567
2018-05-03,25.55165672302246,25.569434622358177,25.222740999757068,25.53980309457649,20628300,25.793157386779786,51.02846101229034,-0.11113077573142505,-0.1455683460127304
2018-05-04,25.936874389648438,26.10577716770894,25.293860335160915,25.483506541287394,20914500,25.809454917907715,53.227346734297704,-0.09095636785326633,-0.13464595038083757
2018-05-07,25.326452255249023,25.9279827629621,25.267187505972466,25.925018932053867,32350800,25.790786933898925,39.606482348199364,-0.12280831123012703,-0.13227842255069547
2018-05-08,25.40645980834961,25.439055167496463,25.163478225820473,25.341269090055896,19654200,25.767377662658692,42.132478935227205,-0.13998164369992594,-0.13381906678054156
2018-05-09,24.612321853637695,24.796040374018794,24.298221900871475,24.464162522290884,96795600,25.645590209960936,32.737659240064644,-0.21519133767806764,-0.1500935209600468
2018-05-10,24.65705108642578,24.979091466894793,24.454283530677714,24.642141983335662,47572800,25.505459213256835,35.75667323757834,-0.2680958447299453,-0.1736939857140265
2018-05-11,24.862796783447266,24.904543291383128,24.43639102065446,24.6570484527997,29804400,25.405163192749022,41.58812677106416,-0.2900772593844927,-0.19697064044811977
2018-05-14,25.163970947265625,25.28324549495979,24.943313460590847,25.014878189207344,28497600,25.300315284729002,44.100739738990086,-0.2799681522777888,-0.2135701428140536
